"price","desc","loc"
"Rp 1.400.000.001","3 KT - 3 KM - 71 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 4.750.000.000","6 KT - 6 KM - 270 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 6.900.000.000","7 KT - 6 KM - 350 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 4.200.000.000","4 KT - 2 KM - 200 m2","Kelapa Gading, Jakarta Utara"
"Rp 160.000.000","1 KT - 1 KM - 30 m2","Cipayung, Jakarta Timur"
"Rp 2.800.000.000","4 KT - 4 KM - 160 m2","Jatinegara, Jakarta Timur"
"Rp 2.400.000.000","4 KT - 2 KM - 90 m2","Jatinegara, Jakarta Timur"
"Rp 350.000.000","2 KT - 1 KM - 53 m2","Cipayung, Jakarta Timur"
"Rp 240.000.000","2 KT - 1 KM - 30 m2","Mampang Prapatan, Jakarta Selatan"
"Rp 2.000.000.000","3 KT - 2 KM - 86 m2","Kembangan, Jakarta Barat"
"Rp 750.000.000","3 KT - 1 KM - 60 m2","Cilincing, Jakarta Utara"
"Rp 370.000.000","2 KT - 1 KM - 118 m2","Tanjung Priok, Jakarta Utara"
"Rp 3.000.000.000","4 KT - 4 KM - 192 m2","Kebon Jeruk, Jakarta Barat"
"Rp 1.618.000.000","3 KT - 4 KM - 115 m2","Cempaka Putih, Jakarta Pusat"
"Rp 8.500.000.000","4 KT - 4 KM - 300 m2","Tebet, Jakarta Selatan"
"Rp 9.900.000.000","5 KT - 5 KM - 280 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 960.000.085","3 KT - 2 KM - 65 m2","Jagakarsa, Jakarta Selatan"
"Rp 660.000.000","2 KT - 1 KM - 40 m2","Jagakarsa, Jakarta Selatan"
"Rp 5.000.000.000","5 KT - 4 KM - 180 m2","Cilandak, Jakarta Selatan"
"Rp 1.800.000.000","3 KT - 3 KM - 180 m2","Duren Sawit, Jakarta Timur"
"Rp 13.000.000.000","10 KT - 3 KM - 458 m2","Tanah Abang, Jakarta Pusat"
"Rp 2.200.000.000","3 KT - 2 KM - 80 m2","Pasar Minggu, Jakarta Selatan"
"Rp 2.000.000.004","3 KT - 2 KM - 103 m2","Mampang Prapatan, Jakarta Selatan"
"Rp 1.400.000.003","3 KT - 2 KM - 90 m2","Mampang Prapatan, Jakarta Selatan"
"Rp 990.000.000","2 KT - 1 KM - 36 m2","Duren Sawit, Jakarta Timur"
"Rp 1.485.000.000","3 KT - 2 KM - 90 m2","Cipayung, Jakarta Timur"
"Rp 950.000.000","9 KT - 7 KM - 171 m2","Pulo Gadung, Jakarta Timur"
"Rp 450.000.000","5 KT - 2 KM - 80 m2","Pesanggrahan, Jakarta Selatan"
"Rp 4.900.000.000","3 KT - 5 KM - 500 m2","Cipayung, Jakarta Timur"
"Rp 2.500.000.000","4 KT - 3 KM - 160 m2","Cipayung, Jakarta Timur"
"Rp 1.365.000.000","3 KT - 2 KM - 90 m2","Duren Sawit, Jakarta Timur"
"Rp 1.500.000.001","3 KT - 2 KM - 58 m2","Palmerah, Jakarta Barat"
"Rp 1.550.000.000","3 KT - 2 KM - 90 m2","Jagakarsa, Jakarta Selatan"
"Rp 2.500.000.000","4 KT - 4 KM - 180 m2","Kramat Jati, Jakarta Timur"
"Rp 4.300.000.000","6 KT - 5 KM - 400 m2","Kramat Jati, Jakarta Timur"
"Rp 2.700.000.000","5 KT - 4 KM - 200 m2","Kramat Jati, Jakarta Timur"
"Rp 1.700.000.000","5 KT - 2 KM - 250 m2","Kramat Jati, Jakarta Timur"
"Rp 890.000.000","2 KT - 1 KM - 50 m2","Kramat Jati, Jakarta Timur"
"Rp 5.500.000.000","4 KT - 2 KM - 228 m2","Kramat Jati, Jakarta Timur"
"Rp 1.800.000.000","4 KT - 2 KM - 160 m2","Kramat Jati, Jakarta Timur"
"Rp 450.000.000","1 KT - 1 KM - 45 m2","Kramat Jati, Jakarta Timur"
"Rp 1.650.000.000","4 KT - 4 KM - 180 m2","Kebon Jeruk, Jakarta Barat"
"Rp 6.900.000.000","5 KT - 5 KM - 600 m2","Pasar Minggu, Jakarta Selatan"
"Rp 895.000.000","3 KT - 2 KM - 71 m2","Cempaka Putih, Jakarta Pusat"
"Rp 250.000.000","2 KT - 1 KM - 50 m2","Cilangkap, Jakarta Timur"
"Rp 155.000.000","2 KT - 1 KM - 36 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 12.585.000.000","5 KT - 6 KM - 442 m2","Jagakarsa, Jakarta Selatan"
"Rp 47.500.000.000","5 KT - 5 KM - 800 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 1.300.000.000","2 KT - 2 KM - 80 m2","Cibubur, Jakarta Timur"
"Rp 3.200.000.000","4 KT - 3 KM - 199 m2","Kelapa Gading, Jakarta Utara"
"Rp 3.200.000.000","4 KT - 3 KM - 200 m2","Kelapa Gading, Jakarta Utara"
"Rp 2.800.000.000","4 KT - 4 KM - 160 m2","Pulo Gadung, Jakarta Timur"
"Rp 2.800.000.000","4 KT - 4 KM - 158 m2","Pulo Gadung, Jakarta Timur"
"Rp 9.900.000.000","4 KT - 3 KM - 390 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 1.300.000.000","4 KT - 2 KM - 130 m2","Cakung, Jakarta Timur"
"Rp 1.300.000.000","4 KT - 2 KM - 130 m2","Cakung, Jakarta Timur"
"Rp 890.000","2 KT - 1 KM - 110 m2","Pasar Minggu, Jakarta Selatan"
"Rp 2.350.000.000","3 KT - 3 KM - 90 m2","Pulo Gadung, Jakarta Timur"
"Rp 1.699.999.000","4 KT - 3 KM - 225 m2","Koja, Jakarta Utara"
"Rp 841.714.200","2 KT - 2 KM - 67 m2","Cilandak, Jakarta Selatan"
"Rp 410.000.000","2 KT - 1 KM - 36 m2","Cibubur, Jakarta Timur"
"Rp 50.000.000.000","7 KT - 8 KM - 1025 m2","Setia Budi, Jakarta Selatan"
"Rp 850.000.241","2 KT - 2 KM - 57 m2","Pulo Gadung, Jakarta Timur"
"Rp 7.000.000.000","6 KT - 6 KM - 200 m2","Pasar Minggu, Jakarta Selatan"
"Rp 975.000.012","3 KT - 2 KM - 71 m2","Duren Sawit, Jakarta Timur"
"Rp 1.375.000.000","2 KT - 2 KM - 75 m2","Cengkareng, Jakarta Barat"
"Rp 1.050.000.000","2 KT - 1 KM - 77 m2","Cengkareng, Jakarta Barat"
"Rp 600.000.008","2 KT - 1 KM - 36 m2","Koja, Jakarta Utara"
"Rp 600.000.001","3 KT - 2 KM - 60 m2","Cakung, Jakarta Timur"
"Rp 600.000.001","3 KT - 2 KM - 64 m2","Cipayung, Jakarta Timur"
"Rp 1.300.000.003","3 KT - 2 KM - 70 m2","Mampang Prapatan, Jakarta Selatan"
"Rp 850.000.000","3 KT - 2 KM - 100 m2","Kemayoran, Jakarta Pusat"
"Rp 1.365.000.000","3 KT - 2 KM - 90 m2","Duren Sawit, Jakarta Timur"
"Rp 417.500.000","3 KT - 3 KM - 150 m2","Ciracas, Jakarta Timur"
"Rp 2.950.000.000","5 KT - 3 KM - 240 m2","Kramat Jati, Jakarta Timur"
"Rp 400.000.001","2 KT - 1 KM - 27 m2","Kelapa Gading, Jakarta Utara"
"Rp 1.300.000.002","4 KT - 2 KM - 75 m2","Jagakarsa, Jakarta Selatan"
"Rp 450.000.000","1 KT - 1 KM - 50 m2","Cilandak, Jakarta Selatan"
"Rp 1.000.000.009","3 KT - 2 KM - 72 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.400.000.001","3 KT - 3 KM - 71 m2","Mampang Prapatan, Jakarta Selatan"
"Rp 1.500.000.001","3 KT - 2 KM - 58 m2","Kembangan, Jakarta Barat"
"Rp 578.400.000","2 KT - 2 KM - 38 m2","Ciracas, Jakarta Timur"
"Rp 2.000.000.004","3 KT - 2 KM - 103 m2","Tanjung Duren, Jakarta Barat"
"Rp 900.000.008","2 KT - 2 KM - 50 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 800.000.001","2 KT - 2 KM - 55 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 3.400.000.000","4 KT - 3 KM - 160 m2","Kebon Jeruk, Jakarta Barat"
"Rp 557.700.000","2 KT - 2 KM - 41 m2","Matraman, Jakarta Timur"
