"price","desc","loc"
"Rp 3.950.000.000","4 KT - 3 KM - 240 m2","Daan Mogot, Jakarta Barat"
"Rp 835.000.000","3 KT - 2 KM - 90 m2","Kramat Jati, Jakarta Timur"
"Rp 1.250.000.000","3 KT - 3 KM - 90 m2","Penjaringan, Jakarta Utara"
"Rp 3.500.000.000","3 KT - 2 KM - 180 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.150.000.000","3 KT - 2 KM - 120 m2","Penjaringan, Jakarta Utara"
"Rp 4.500.000.000","4 KT - 4 KM - 299 m2","Penjaringan, Jakarta Utara"
"Rp 450.000.000","1 KT - 1 KM - 84 m2","Matraman, Jakarta Timur"
"Rp 600.000.000","2 KT - 1 KM - 55 m2","Duren Sawit, Jakarta Timur"
"Rp 1.650.000.000","3 KT - 3 KM - 63 m2","Cakung, Jakarta Timur"
"Rp 855.000.000","3 KT - 3 KM - 78 m2","Ciracas, Jakarta Timur"
"Rp 6.500.000.000","3 KT - 3 KM - 360 m2","Penjaringan, Jakarta Utara"
"Rp 2.400.000.000","4 KT - 4 KM - 97 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 6.500.000.000","3 KT - 3 KM - 360 m2","Penjaringan, Jakarta Utara"
"Rp 735.000.000","4 KT - 2 KM - 105 m2","Duren Sawit, Jakarta Timur"
"Rp 2.100.000.000","3 KT - 2 KM - 48 m2","Penjaringan, Jakarta Utara"
"Rp 2.100.000.000","3 KT - 2 KM - 48 m2","Penjaringan, Jakarta Utara"
"Rp 1.650.000.000","3 KT - 3 KM - 63 m2","Cakung, Jakarta Timur"
"Rp 5.500.000.000","5 KT - 5 KM - 209 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 3.900.000.000","3 KT - 3 KM - 160 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.300.000.000","3 KT - 3 KM - 105 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 110.000.000","2 KT - 1 KM - 25 m2","Jatinegara, Jakarta Timur"
"Rp 2.400.000.000","3 KT - 2 KM - 110 m2","Gambir, Jakarta Pusat"
"Rp 475.000.000","5 KT - 5 KM - 120 m2","Cipayung, Jakarta Timur"
"Rp 415.000.000","10 KT - 5 KM - 52 m2","Taman Sari, Jakarta Barat"
"Rp 2.400.000.000","3 KT - 2 KM - 84 m2","Cakung, Jakarta Timur"
"Rp 852.000.000","3 KT - 3 KM - 78 m2","Ciracas, Jakarta Timur"
"Rp 850.000.090","3 KT - 3 KM - 78 m2","Cibubur, Jakarta Timur"
"Rp 850.000.000","3 KT - 3 KM - 78 m2","Cibubur, Jakarta Timur"
"Rp 7.000.000.000","4 KT - 2 KM - 139 m2","Pasar Rebo, Jakarta Timur"
"Rp 160.000.000","1 KT - 1 KM - 27 m2","Kalideres, Jakarta Barat"
"Rp 300.000.000","2 KT - 2 KM - 350 m2","Kembangan, Jakarta Barat"
"Rp 3.300.000.000","6 KT - 4 KM - 170 m2","Cakung, Jakarta Timur"
"Rp 2.500.000.000","5 KT - 5 KM - 119 m2","Cakung, Jakarta Timur"
"Rp 7.500.000.000","5 KT - 6 KM - 500 m2","Kalideres, Jakarta Barat"
"Rp 1.350.000.000","2 KT - 2 KM - 45 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.000.000.000","4 KT - 2 KM - 150 m2","Kebon Jeruk, Jakarta Barat"
"Rp 980.000.000","3 KT - 2 KM - 200 m2","Cakung, Jakarta Timur"
"Rp 360.000.000","2 KT - 2 KM - 48 m2","Pulo Gadung, Jakarta Timur"
"Rp 1.500.000.000","2 KT - 2 KM - 100 m2","Cilandak, Jakarta Selatan"
"Rp 1.400.000.000","3 KT - 2 KM - 200 m2","Cibubur, Jakarta Timur"
"Rp 350.000.000","2 KT - 1 KM - 60 m2","Cilangkap, Jakarta Timur"
"Rp 250.000.000","2 KT - 1 KM - 38 m2","Kramat Jati, Jakarta Timur"
"Rp 1.800.000.000","2 KT - 1 KM - 132 m2","Jakarta Selatan, Jakarta D.K.I."
"Rp 700.000.000","2 KT - 1 KM - 60 m2","Kebon Jeruk, Jakarta Barat"
"Rp 250.000.000","2 KT - 1 KM - 38 m2","Kramat Jati, Jakarta Timur"
"Rp 415.000.000","2 KT - 2 KM - 72 m2","Duren Sawit, Jakarta Timur"
"Rp 600.000.000","2 KT - 2 KM - 96 m2","Cakung, Jakarta Timur"
"Rp 3.700.000.000","3 KT - 3 KM - 133 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 5.600.000.000","4 KT - 3 KM - 222 m2","Setia Budi, Jakarta Selatan"
"Rp 510.000.000","4 KT - 2 KM - 57 m2","Cakung, Jakarta Timur"
"Rp 69.000.000","1 KT - 1 KM - 24 m2","Cengkareng, Jakarta Barat"
"Rp 2.400.000.000","4 KT - 4 KM - 98 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.600.000.000","4 KT - 4 KM - 130 m2","Pantai Indah Kapuk, Jakarta Utara"
