"price","desc","loc"
"Rp 2.800.000.000","4 KT - 4 KM - 200 m2","Grogol Petamburan, Jakarta Barat"
"Rp 1.600.000.000","3 KT - 2 KM - 71 m2","Pancoran, Jakarta Selatan"
"Rp 350.000.000","1 KT - 1 KM - 30 m2","Pancoran, Jakarta Selatan"
"Rp 400.000.000","3 KT - 2 KM - 43 m2","Pademangan, Jakarta Utara"
"Rp 2.400.000.000","4 KT - 3 KM - 240 m2","Cibubur, Jakarta Timur"
"Rp 500.000.000","3 KT - 2 KM - 166 m2","Koja, Jakarta Utara"
"Rp 4.700.000.000","3 KT - 3 KM - 220 m2","Cilandak, Jakarta Selatan"
"Rp 5.000.000.000","4 KT - 3 KM - 259 m2","Cibubur, Jakarta Timur"
"Rp 4.500.000.000","4 KT - 3 KM - 310 m2","Cakung, Jakarta Timur"
"Rp 7.000.000.000","6 KT - 4 KM - 300 m2","Taman Sari, Jakarta Barat"
"Rp 1.500.000.000","2 KT - 2 KM - 80 m2","Cibubur, Jakarta Timur"
"Rp 2.600.000.000","4 KT - 4 KM - 117 m2","Cibubur, Jakarta Timur"
"Rp 1.950.000.000","4 KT - 4 KM - 120 m2","Cibubur, Jakarta Timur"
"Rp 4.000.000.000","1 KT - 1 KM - 300 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 2.725.000.000","4 KT - 4 KM - 189 m2","Kalideres, Jakarta Barat"
"Rp 2.500.000.000","3 KT - 3 KM - 210 m2","Grogol Petamburan, Jakarta Barat"
"Rp 1.000.000.000","2 KT - 2 KM - 84 m2","Pademangan, Jakarta Utara"
"Rp 5.900.000.000","5 KT - 5 KM - 246 m2","Cilandak, Jakarta Selatan"
"Rp 600.000.000","1 KT - 1 KM - 62 m2","Penjaringan, Jakarta Utara"
"Rp 2.900.000.000","4 KT - 4 KM - 160 m2","Kembangan, Jakarta Barat"
"Rp 25.000.000.000","5 KT - 5 KM - 700 m2","Pademangan, Jakarta Utara"
"Rp 1.920.000.000","4 KT - 3 KM - 104 m2","Cilandak, Jakarta Selatan"
"Rp 1.300.000.000","3 KT - 2 KM - 68 m2","Cengkareng, Jakarta Barat"
"Rp 2.650.000.000","3 KT - 3 KM - 80 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 17.500.000.000","7 KT - 4 KM - 400 m2","Senen, Jakarta Pusat"
"Rp 26.000.000.000","7 KT - 7 KM - 619 m2","Pademangan, Jakarta Utara"
"Rp 550.000.000","3 KT - 2 KM - 120 m2","Tanjung Priok, Jakarta Utara"
"Rp 23.000.000.000","3 KT - 2 KM - 348 m2","Menteng, Jakarta Pusat"
"Rp 1.650.000.000","3 KT - 3 KM - 86 m2","Kemang, Jakarta Selatan"
"Rp 2.500.000.000","5 KT - 4 KM - 175 m2","Tambora, Jakarta Barat"
"Rp 1.600.000.000",">10 KT - 5 KM - 240 m2","Taman Sari, Jakarta Barat"
